name,unit,Overall,Uplink,Downlink
Eb/No Ratio,dB,11.621165662045655,42.92670715137678,11.624382217033599
Carrier Power Density,dBW,,-126.39499046546526,-163.1000080343029
Free-Space Path Loss,dB,,-213.5301902389126,-210.05408102449798
Atmospheric Loss,dB,,-6.0,-6.0
Boltzmann's Constant,dB,,-228.60120913598763,-228.60120913598763
Carrier to Noise Density Ratio,dB,,123.54818621886523,92.24586128452204
Bandwidth to Bit Rate Ratio,dB,,-3.631779024128257,-3.631779024128257
Carrier to Noise Ratio,dB,,46.55848617550504,15.256161241161855
Central Angle,°,,35.24918189982331,33.74890415828881
Slant Range,km,,37138.17099446182,37030.62388943296
Receiver Noise Figure,,,2.5,2.5
Receiver Equivalent Noise Temperature,K,,450.0,37.5
Receiver Noise Temperature,K,,300.0,25.0
Receiver Combined Gain,dB,,47.87409268609628,42.484972860114524
Receiver Gain to Equivalent Noise Temperature Ratio,dBK-1,,21.341967548342843,26.74466018283733
Receiver Antenna Diameter,m,,1.0,0.8
Receiver Antenna Frequency,GHz,,30.5,20.5
Receiver Antenna Wavelength,m,,0.009829260918032786,0.014624022341463415
Receiver Antenna Efficiency,%,,0.6,0.6
Receiver Antenna Feeder Loss,dB,,-0.49999999999999983,-1.0
Receiver Antenna Gain,dB,,47.87409268609628,42.484972860114524
Receiver Antenna EIRP,dBW,,56.40499255601571,60.515872730033955
Receiver Antenna Amplifier Power,dBW,,9.030899869919436,19.030899869919434
Receiver Antenna Amplifier Gain,dB,,0.0,0.0
Receiver Antenna Amplifier Back-Off Loss,dB,,0.0,0.0
Receiver Antenna Amplifier Noise Power,dB,,,
Receiver Antenna Modulation Maximum Bit Rate,mbps,,115.38461538461539,115.38461538461539
Receiver Antenna Modulation Data Rate,mbps,,115.38461538461539,115.38461538461539
Receiver Antenna Modulation Bandwidth,GHz,,0.05,0.05
Receiver Antenna Modulation Spectral Efficiency,bits/s/GHz,,2.3076923076923075,2.3076923076923075
Receiver Antenna Modulation Carrier to Noise Ratio,bits/s/GHz,,19.65690784179897,19.65690784179897
Receiver Antenna Modulation Eb/No Ratio,dB,,16.025128817670712,16.025128817670712
Receiver Antenna Modulation Bit Error Rate,,,1e-09,1e-09
Receiver Antenna Modulation Roll-Off Factor,,,0.3,0.3
Receiver Sub-Satellite Latitude,°,,0.0,
Receiver Sub-Satellite Longitude,°,,149.8,
Receiver Sub-Satellite Altitude,°,,0.0,
Transmitter Noise Figure,,,2.1,2.5
Transmitter Equivalent Noise Temperature,K,,27.500000000000004,450.0
Transmitter Noise Temperature,K,,25.0,300.0
Transmitter Combined Gain,dB,,65.19458016426653,47.87409268609628
Transmitter Gain to Equivalent Noise Temperature Ratio,dBK-1,,50.801253225963904,21.341967548342843
Transmitter Antenna Diameter,m,,10.5,1.0
Transmitter Antenna Frequency,GHz,,30.5,20.5
Transmitter Antenna Wavelength,m,,0.009829260918032786,0.014624022341463415
Transmitter Antenna Efficiency,%,,0.65,0.6
Transmitter Antenna Feeder Loss,dB,,-2.5,-0.49999999999999983
Transmitter Antenna Gain,dB,,68.64549973008717,44.42317312027565
Transmitter Antenna EIRP,dBW,,93.13519977344734,52.95407299019509
Transmitter Antenna Amplifier Power,dBW,,26.989700043360187,9.030899869919436
Transmitter Antenna Amplifier Gain,dB,,0.0,0.0
Transmitter Antenna Amplifier Back-Off Loss,dB,,0.0,0.0
Transmitter Antenna Amplifier Noise Power,dB,,,
Transmitter Antenna Modulation Maximum Bit Rate,mbps,,115.38461538461539,115.38461538461539
Transmitter Antenna Modulation Data Rate,mbps,,115.38461538461539,115.38461538461539
Transmitter Antenna Modulation Bandwidth,GHz,,0.05,0.05
Transmitter Antenna Modulation Spectral Efficiency,bits/s/GHz,,2.3076923076923075,2.3076923076923075
Transmitter Antenna Modulation Carrier to Noise Ratio,bits/s/GHz,,19.65690784179897,19.65690784179897
Transmitter Antenna Modulation Eb/No Ratio,dB,,16.025128817670712,16.025128817670712
Transmitter Antenna Modulation Bit Error Rate,,,1e-09,1e-09
Transmitter Antenna Modulation Roll-Off Factor,,,0.3,0.3
Transmitter Earth Station Latitude,°,,-35.17,
Transmitter Earth Station Longitude,°,,147.27,
Transmitter Earth Station Altitude,°,,0.0,
Receiver Earth Station Latitude,°,,,-19.08
Receiver Earth Station Longitude,°,,,178.18
Receiver Earth Station Altitude,°,,,0.0
Transmitter Sub-Satellite Latitude,°,,,0.0
Transmitter Sub-Satellite Longitude,°,,,149.8
Transmitter Sub-Satellite Altitude,°,,,0.0
