,Overall,Uplink,Downlink
Eb/No Ratio (dB),13.755,13.783,35.656
Carrier Power Density (dBW),,-155.538,-163.125
Free-Space Path Loss (dB),,-213.505,-210.079
Atmospheric Loss (dB),,-6.000,-6.000
C/No Ratio (dB),,94.405,116.277
Bandwidth to Bit Rate Ratio (dB),,-3.632,-3.632
C/N Ratio (dB),,17.415,39.288
Central Angle (°),,33.749,35.249
Slant Range (km),,"37,030.624","37,138.171"
Transmitter Noise Figure (),,2.500,2.500
Transmitter Equivalent Noise Temperature (K),,37.500,450.000
Transmitter Noise Temperature (K),,25.000,300.000
Transmitter Combined Gain (dB),,42.485,47.874
Transmitter G/Te Ratio (dBK-1),,26.745,21.342
Transmitter Diameter (m),,0.800,1.000
Transmitter Gain (dB),,45.936,44.423
Transmitter Half Beamwidth (dBW),,63.967,52.954
Transmitter Frequency (GHz),,30.500,20.500
Transmitter Wavelength (m),,0.010,0.015
Transmitter Efficiency (%),,0.600,0.600
Transmitter Feeder Loss (dB),,-1.000,-0.500
Transmitter EIRP (dBW),,63.967,52.954
Transmitter Amplifier Power (dBW),,19.031,9.031
Transmitter Amplifier Gain (dB),,0.000,0.000
Transmitter Amplifier Back-Off Loss (dB),,0.000,0.000
Transmitter Amplifier Noise Power (dB),,,
Transmitter Modulation Maximum Bit Rate (mbps),,115.385,115.385
Transmitter Modulation Data Rate (mbps),,115.385,115.385
Transmitter Modulation Bandwidth (GHz),,0.050,0.050
Transmitter Modulation Spectral Efficiency (bits/s/GHz),,2.308,2.308
Transmitter Modulation C/N Ratio (bits/s/GHz),,39.288,39.288
Transmitter Modulation Eb/No Ratio (dB),,35.656,35.656
Transmitter Modulation Bit Error Rate (),,0.000,0.000
Transmitter Modulation Roll-Off Factor (),,0.300,0.300
Transmitter Earth Station Latitude (°),,-19.080,
Transmitter Earth Station Longitude (°),,178.180,
Transmitter Earth Station Altitude (°),,0.000,
Receiver Noise Figure (),,2.500,2.100
Receiver Equivalent Noise Temperature (K),,450.000,27.500
Receiver Noise Temperature (K),,300.000,25.000
Receiver Combined Gain (dB),,47.874,65.195
Receiver G/Te Ratio (dBK-1),,21.342,50.801
Receiver Diameter (m),,1.000,10.500
Receiver Gain (dB),,47.874,65.195
Receiver Half Beamwidth (dBW),,56.405,89.684
Receiver Frequency (GHz),,30.500,20.500
Receiver Wavelength (m),,0.010,0.015
Receiver Efficiency (%),,0.600,0.650
Receiver Feeder Loss (dB),,-0.500,-2.500
Receiver EIRP (dBW),,56.405,89.684
Receiver Amplifier Power (dBW),,9.031,26.990
Receiver Amplifier Gain (dB),,0.000,0.000
Receiver Amplifier Back-Off Loss (dB),,0.000,0.000
Receiver Amplifier Noise Power (dB),,,
Receiver Modulation Maximum Bit Rate (mbps),,115.385,115.385
Receiver Modulation Data Rate (mbps),,115.385,115.385
Receiver Modulation Bandwidth (GHz),,0.050,0.050
Receiver Modulation Spectral Efficiency (bits/s/GHz),,2.308,2.308
Receiver Modulation C/N Ratio (bits/s/GHz),,39.288,39.288
Receiver Modulation Eb/No Ratio (dB),,35.656,35.656
Receiver Modulation Bit Error Rate (),,0.000,0.000
Receiver Modulation Roll-Off Factor (),,0.300,0.300
Receiver Sub-Satellite Latitude (°),,0.000,
Receiver Sub-Satellite Longitude (°),,149.800,
Receiver Sub-Satellite Altitude (°),,0.000,
Transmitter Sub-Satellite Latitude (°),,,0.000
Transmitter Sub-Satellite Longitude (°),,,149.800
Transmitter Sub-Satellite Altitude (°),,,0.000
Receiver Earth Station Latitude (°),,,-35.170
Receiver Earth Station Longitude (°),,,147.270
Receiver Earth Station Altitude (°),,,0.000
